entity_id,state,last_changed
sensor.van_central_gray_water_segment_data,"154,161,167,175,191,200,208,198,192",2024-11-15T22:34:58.557Z
sensor.van_central_gray_water_segment_data,"155,160,167,176,191,201,208,198,196",2024-11-15T22:35:13.557Z
sensor.van_central_gray_water_segment_data,"155,161,167,176,192,201,209,198,194",2024-11-15T22:35:28.560Z
sensor.van_central_gray_water_segment_data,"155,160,167,176,191,201,208,198,195",2024-11-15T22:35:43.555Z
sensor.van_central_gray_water_segment_data,"155,161,167,176,191,201,209,198,192",2024-11-15T22:35:58.559Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,201,208,198,195",2024-11-15T22:36:13.558Z
sensor.van_central_gray_water_segment_data,"155,161,167,176,191,201,209,198,194",2024-11-15T22:36:28.557Z
sensor.van_central_gray_water_segment_data,"155,161,167,176,191,201,209,198,192",2024-11-15T22:36:43.558Z
sensor.van_central_gray_water_segment_data,"155,161,168,176,192,201,208,198,196",2024-11-15T22:36:58.557Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,208,198,195",2024-11-15T22:37:13.562Z
sensor.van_central_gray_water_segment_data,"154,161,167,175,191,200,208,198,194",2024-11-15T22:37:28.564Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,191,200,207,198,196",2024-11-15T22:37:43.562Z
sensor.van_central_gray_water_segment_data,"154,160,166,175,191,200,208,198,195",2024-11-15T22:37:58.562Z
sensor.van_central_gray_water_segment_data,"153,159,166,175,191,200,208,198,198",2024-11-15T22:38:13.562Z
sensor.van_central_gray_water_segment_data,"158,164,171,179,195,206,215,204,201",2024-11-15T22:38:28.563Z
sensor.van_central_gray_water_segment_data,"156,161,168,178,193,204,211,201,201",2024-11-15T22:38:43.562Z
sensor.van_central_gray_water_segment_data,"157,164,170,179,195,205,215,204,201",2024-11-15T22:38:58.564Z
sensor.van_central_gray_water_segment_data,"157,163,169,178,194,205,213,203,200",2024-11-15T22:39:13.563Z
sensor.van_central_gray_water_segment_data,"160,165,172,181,197,207,216,207,207",2024-11-15T22:39:28.564Z
sensor.van_central_gray_water_segment_data,"157,163,170,179,195,205,213,203,204",2024-11-15T22:39:43.562Z
sensor.van_central_gray_water_segment_data,"157,163,169,178,194,204,212,201,199",2024-11-15T22:39:58.564Z
sensor.van_central_gray_water_segment_data,"160,167,173,182,199,209,217,207,204",2024-11-15T22:40:13.563Z
sensor.van_central_gray_water_segment_data,"154,160,166,176,191,200,208,199,198",2024-11-15T22:40:43.562Z
sensor.van_central_gray_water_segment_data,"155,160,167,176,191,201,208,199,199",2024-11-15T22:40:58.563Z
sensor.van_central_gray_water_segment_data,"155,160,167,176,192,201,209,199,199",2024-11-15T22:41:13.563Z
sensor.van_central_gray_water_segment_data,"154,160,166,175,191,200,209,199,196",2024-11-15T22:41:28.564Z
sensor.van_central_gray_water_segment_data,"154,160,166,174,191,200,209,199,195",2024-11-15T22:41:58.564Z
sensor.van_central_gray_water_segment_data,"154,160,166,175,191,200,209,199,196",2024-11-15T22:42:13.563Z
sensor.van_central_gray_water_segment_data,"154,160,167,176,192,201,209,200,199",2024-11-15T22:42:28.564Z
sensor.van_central_gray_water_segment_data,"154,160,166,175,191,201,209,199,196",2024-11-15T22:42:43.565Z
sensor.van_central_gray_water_segment_data,"154,160,167,175,191,201,209,199,196",2024-11-15T22:42:58.564Z
sensor.van_central_gray_water_segment_data,"153,159,165,174,189,199,208,196,194",2024-11-15T22:43:13.563Z
sensor.van_central_gray_water_segment_data,"152,159,165,174,188,198,205,195,195",2024-11-15T22:43:28.564Z
sensor.van_central_gray_water_segment_data,"151,159,164,173,187,197,205,194,189",2024-11-15T22:43:43.566Z
sensor.van_central_gray_water_segment_data,"151,159,164,172,187,197,204,192,185",2024-11-15T22:43:58.568Z
sensor.van_central_gray_water_segment_data,"151,158,163,172,186,195,203,191,182",2024-11-15T22:44:13.563Z
sensor.van_central_gray_water_segment_data,"151,158,163,171,186,195,203,190,172",2024-11-15T22:44:28.564Z
sensor.van_central_gray_water_segment_data,"150,158,163,171,186,194,201,189,163",2024-11-15T22:44:43.563Z
sensor.van_central_gray_water_segment_data,"149,156,162,170,184,193,199,186,155",2024-11-15T22:44:58.564Z
sensor.van_central_gray_water_segment_data,"149,156,162,171,184,193,199,185,145",2024-11-15T22:45:13.565Z
sensor.van_central_gray_water_segment_data,"149,156,161,169,184,193,199,182,132",2024-11-15T22:45:28.564Z
sensor.van_central_gray_water_segment_data,"148,154,160,169,181,191,196,177,119",2024-11-15T22:45:43.565Z
sensor.van_central_gray_water_segment_data,"147,154,160,167,181,190,196,174,110",2024-11-15T22:45:58.564Z
sensor.van_central_gray_water_segment_data,"146,153,159,167,180,188,194,165,100",2024-11-15T22:46:13.568Z
sensor.van_central_gray_water_segment_data,"145,153,159,166,180,188,194,161,93",2024-11-15T22:46:28.564Z
sensor.van_central_gray_water_segment_data,"144,151,157,165,178,187,191,151,85",2024-11-15T22:46:43.563Z
sensor.van_central_gray_water_segment_data,"143,150,156,165,177,186,188,139,84",2024-11-15T22:46:58.571Z
sensor.van_central_gray_water_segment_data,"143,149,156,164,177,185,187,128,80",2024-11-15T22:47:13.563Z
sensor.van_central_gray_water_segment_data,"142,149,155,161,176,184,186,116,71",2024-11-15T22:47:28.565Z
sensor.van_central_gray_water_segment_data,"141,148,154,160,175,182,185,104,67",2024-11-15T22:47:43.563Z
sensor.van_central_gray_water_segment_data,"141,146,153,160,173,181,181,93,69",2024-11-15T22:47:58.564Z
sensor.van_central_gray_water_segment_data,"140,146,152,159,172,180,178,82,66",2024-11-15T22:48:13.563Z
sensor.van_central_gray_water_segment_data,"139,146,151,157,171,179,177,71,58",2024-11-15T22:48:28.564Z
sensor.van_central_gray_water_segment_data,"139,145,151,158,170,178,170,61,61",2024-11-15T22:48:43.563Z
sensor.van_central_gray_water_segment_data,"139,146,150,156,170,176,166,54,53",2024-11-15T22:48:58.564Z
sensor.van_central_gray_water_segment_data,"138,145,150,157,169,176,158,48,57",2024-11-15T22:49:13.563Z
sensor.van_central_gray_water_segment_data,"138,144,149,156,169,175,151,43,56",2024-11-15T22:49:28.564Z
sensor.van_central_gray_water_segment_data,"137,144,149,156,168,174,141,39,55",2024-11-15T22:49:43.568Z
sensor.van_central_gray_water_segment_data,"137,143,148,156,168,173,132,35,53",2024-11-15T22:49:58.589Z
sensor.van_central_gray_water_segment_data,"136,142,148,155,168,172,122,33,52",2024-11-15T22:50:13.563Z
sensor.van_central_gray_water_segment_data,"136,143,147,153,167,170,113,30,46",2024-11-15T22:50:28.567Z
sensor.van_central_gray_water_segment_data,"135,141,146,154,165,169,101,28,51",2024-11-15T22:50:43.565Z
sensor.van_central_gray_water_segment_data,"135,142,146,152,165,167,92,25,43",2024-11-15T22:50:58.564Z
sensor.van_central_gray_water_segment_data,"134,141,145,152,164,164,81,24,42",2024-11-15T22:51:13.564Z
sensor.van_central_gray_water_segment_data,"133,141,145,151,163,162,71,21,40",2024-11-15T22:51:28.565Z
sensor.van_central_gray_water_segment_data,"133,139,144,151,162,158,59,20,47",2024-11-15T22:51:43.562Z
sensor.van_central_gray_water_segment_data,"133,139,143,151,162,154,53,19,46",2024-11-15T22:51:58.567Z
sensor.van_central_gray_water_segment_data,"132,138,143,150,161,148,46,17,44",2024-11-15T22:52:13.563Z
sensor.van_central_gray_water_segment_data,"132,139,142,149,160,142,44,15,38",2024-11-15T22:52:28.564Z
sensor.van_central_gray_water_segment_data,"131,139,142,148,159,133,40,14,36",2024-11-15T22:52:43.561Z
sensor.van_central_gray_water_segment_data,"131,138,142,148,157,126,37,14,36",2024-11-15T22:52:58.563Z
sensor.van_central_gray_water_segment_data,"131,137,141,149,156,117,31,12,43",2024-11-15T22:53:13.562Z
sensor.van_central_gray_water_segment_data,"131,138,141,147,156,107,32,12,35",2024-11-15T22:53:28.564Z
sensor.van_central_gray_water_segment_data,"130,137,141,148,155,99,25,12,42",2024-11-15T22:53:43.561Z
sensor.van_central_gray_water_segment_data,"130,138,140,146,154,89,27,11,35",2024-11-15T22:53:58.565Z
sensor.van_central_gray_water_segment_data,"130,137,140,146,153,81,25,11,35",2024-11-15T22:54:13.562Z
sensor.van_central_gray_water_segment_data,"130,137,140,146,152,71,24,11,34",2024-11-15T22:54:28.563Z
sensor.van_central_gray_water_segment_data,"130,136,139,147,149,63,17,9,40",2024-11-15T22:54:43.562Z
sensor.van_central_gray_water_segment_data,"129,136,139,145,147,56,20,9,34",2024-11-15T22:54:58.563Z
sensor.van_central_gray_water_segment_data,"129,135,139,146,143,48,14,9,40",2024-11-15T22:55:13.562Z
sensor.van_central_gray_water_segment_data,"129,136,138,144,139,44,19,9,33",2024-11-15T22:55:28.562Z
sensor.van_central_gray_water_segment_data,"129,136,138,143,132,38,17,7,33",2024-11-15T22:55:43.562Z
sensor.van_central_gray_water_segment_data,"129,135,138,144,127,34,11,7,39",2024-11-15T22:55:58.564Z
sensor.van_central_gray_water_segment_data,"129,136,138,142,120,32,16,7,31",2024-11-15T22:56:13.562Z
sensor.van_central_gray_water_segment_data,"128,135,137,141,112,28,16,7,31",2024-11-15T22:56:28.564Z
sensor.van_central_gray_water_segment_data,"128,135,137,140,105,26,14,7,31",2024-11-15T22:56:43.562Z
sensor.van_central_gray_water_segment_data,"128,134,137,141,97,25,8,6,38",2024-11-15T22:56:58.563Z
sensor.van_central_gray_water_segment_data,"128,135,137,141,90,23,8,7,38",2024-11-15T22:57:13.564Z
sensor.van_central_gray_water_segment_data,"129,136,137,139,83,21,12,7,31",2024-11-15T22:57:28.563Z
sensor.van_central_gray_water_segment_data,"129,136,137,138,76,20,12,7,31",2024-11-15T22:57:43.567Z
sensor.van_central_gray_water_segment_data,"129,136,137,138,71,19,12,7,31",2024-11-15T22:57:58.561Z
sensor.van_central_gray_water_segment_data,"129,135,137,139,65,17,6,7,39",2024-11-15T22:58:13.562Z
sensor.van_central_gray_water_segment_data,"130,135,137,138,59,17,6,6,39",2024-11-15T22:58:28.565Z
sensor.van_central_gray_water_segment_data,"130,136,137,137,54,16,6,7,39",2024-11-15T22:58:43.562Z
sensor.van_central_gray_water_segment_data,"130,136,137,135,49,15,6,6,39",2024-11-15T22:58:58.563Z
sensor.van_central_gray_water_segment_data,"131,137,137,132,45,15,12,7,33",2024-11-15T22:59:13.566Z
sensor.van_central_gray_water_segment_data,"131,137,137,130,42,13,12,7,33",2024-11-15T22:59:28.562Z
sensor.van_central_gray_water_segment_data,"131,138,137,128,39,13,12,7,33",2024-11-15T22:59:43.565Z
sensor.van_central_gray_water_segment_data,"132,138,137,125,37,13,11,7,33",2024-11-15T22:59:58.563Z
sensor.van_central_gray_water_segment_data,"132,139,137,123,34,13,12,7,33",2024-11-15T23:00:13.562Z
sensor.van_central_gray_water_segment_data,"133,139,137,119,32,12,11,7,33",2024-11-15T23:00:28.563Z
sensor.van_central_gray_water_segment_data,"133,139,137,117,31,12,6,7,40",2024-11-15T23:00:43.561Z
sensor.van_central_gray_water_segment_data,"133,139,137,113,29,12,4,7,40",2024-11-15T23:00:58.562Z
sensor.van_central_gray_water_segment_data,"134,139,137,110,27,12,4,7,40",2024-11-15T23:01:13.562Z
sensor.van_central_gray_water_segment_data,"134,140,137,105,26,11,11,7,34",2024-11-15T23:01:28.562Z
sensor.van_central_gray_water_segment_data,"134,140,137,102,25,11,11,7,34",2024-11-15T23:01:43.561Z
sensor.van_central_gray_water_segment_data,"135,140,137,99,24,11,4,7,40",2024-11-15T23:01:58.563Z
sensor.van_central_gray_water_segment_data,"135,140,137,97,24,11,6,7,42",2024-11-15T23:02:13.562Z
sensor.van_central_gray_water_segment_data,"136,142,137,92,23,11,12,7,35",2024-11-15T23:02:28.562Z
sensor.van_central_gray_water_segment_data,"136,141,137,90,23,11,6,9,43",2024-11-15T23:02:43.561Z
sensor.van_central_gray_water_segment_data,"136,141,137,87,22,11,6,9,43",2024-11-15T23:02:58.562Z
sensor.van_central_gray_water_segment_data,"137,142,137,83,22,11,12,9,36",2024-11-15T23:03:13.561Z
sensor.van_central_gray_water_segment_data,"138,143,137,82,22,11,12,9,36",2024-11-15T23:03:28.562Z
sensor.van_central_gray_water_segment_data,"138,143,137,79,21,11,12,9,36",2024-11-15T23:03:43.560Z
sensor.van_central_gray_water_segment_data,"137,143,136,74,19,11,12,9,36",2024-11-15T23:03:58.562Z
sensor.van_central_gray_water_segment_data,"138,142,136,73,19,11,6,9,43",2024-11-15T23:04:13.561Z
sensor.van_central_gray_water_segment_data,"138,143,135,69,18,11,12,9,36",2024-11-15T23:04:28.562Z
sensor.van_central_gray_water_segment_data,"137,141,135,66,17,11,6,9,43",2024-11-15T23:04:43.560Z
sensor.van_central_gray_water_segment_data,"137,142,134,62,17,9,12,9,36",2024-11-15T23:04:58.564Z
sensor.van_central_gray_water_segment_data,"137,141,134,61,17,9,6,9,43",2024-11-15T23:05:13.560Z
sensor.van_central_gray_water_segment_data,"137,141,133,58,16,9,4,7,43",2024-11-15T23:05:28.562Z
sensor.van_central_gray_water_segment_data,"137,142,133,55,16,9,12,9,36",2024-11-15T23:05:43.561Z
sensor.van_central_gray_water_segment_data,"138,141,132,54,16,9,4,9,43",2024-11-15T23:05:58.560Z
sensor.van_central_gray_water_segment_data,"137,141,131,51,15,9,11,7,35",2024-11-15T23:06:13.561Z
sensor.van_central_gray_water_segment_data,"137,141,130,49,15,9,11,7,35",2024-11-15T23:06:28.564Z
sensor.van_central_gray_water_segment_data,"137,141,130,50,15,9,4,9,43",2024-11-15T23:06:43.562Z
sensor.van_central_gray_water_segment_data,"136,140,129,49,14,9,4,7,42",2024-11-15T23:06:58.563Z
sensor.van_central_gray_water_segment_data,"136,141,128,46,14,9,11,7,35",2024-11-15T23:07:13.562Z
